Model,Training Time(s),Train Score,Test Score (TFIDF)
Naive Bayes,0.138s,0.9225373134328357,0.9518181818181818
Logistic Regression,37.137s,0.9773134328358208,0.9772727272727273
Linear SVM,1.279s,0.9783582089552239,0.9784848484848485
Linear SVM (SGD),0.309s,0.9774626865671643,0.9769696969696969
Random Forest,7.1s,0.8949253731343283,0.97
Gradient Boosted Machines,60.518s,0.9677611940298508,0.9721212121212122
