Model,Training Time(s),Train Score,Test Score (TF)
Naive Bayes,0.04s,0.9119402985074627,0.9072727272727272
Logistic Regression,6.104s,0.9728358208955225,0.9748484848484849
Linear SVM,0.258s,0.9688059701492537,0.9724242424242424
Linear SVM (SGD),0.11s,0.968955223880597,0.9696969696969697
Random Forest,1.327s,0.8901492537313433,0.8915151515151515
Gradient Boosted Machines,5.227s,0.9680597014925374,0.9636363636363636
