"Model","Training Time","Train Score (TF-IDF)","Test Score (TF-IDF)"
"Naive Bayes","0.022s","0.9225373134328357","0.9106060606060606"
"Logistic Regression","3.961s","0.9773134328358208","0.9754545454545455"
"Linear SVM","0.181s","0.9783582089552239","0.9751515151515151"
"Linear SVM (SGD)","0.046s","0.9774626865671643","0.9736363636363636"
"Random Forest","0.86s","0.8949253731343283","0.9103030303030303"
"Gradient Boosted Machines","8.869s","0.9677611940298508","0.9672727272727273"
